pathloss,doppler shift,label
5.734508215,3.801888295,NA
-10.7416989,5.286982417,NA
0.761785811,5.216568649,NA
10.72300545,4.820827074,NA
-10.38568149,4.229048413,NA
-1.510718851,2.717819286,NA
-1.404202584,1.789009963,NA
-3.112991928,3.862957626,NA
-0.853923846,3.274593021,NA
-13.29062853,4.60390585,NA
-15.80679639,2.513659528,NA
0.715335713,3.291772203,RA
4.263177049,6.603988615,RA
-5.547021592,6.061601945,RA
-5.711179243,7.60702513,RA
6.77292454,3.82610178,RA
-10.86316587,5.044707725,RA
-4.845580195,3.657135116,RA
0.392037361,2.820799509,RA
2.681997517,5.342722839,RA
-1.4173639,3.798363044,RA
0.937865854,3.351439032,RA
0.172470032,3.553705283,RA
-0.126619811,3.619878831,RA
-0.782652541,1.807000957,RA
3.972049786,0.431697138,RA
-7.066083536,1.937148852,RA
-3.129129836,4.54090192,RA
-13.26600455,2.402202468,RA
-10.52511521,2.884836309,RA
-13.33417776,2.202695124,RA
-17.38668958,3.009127049,RA
-13.11831141,2.649351768,RA
-11.46596174,2.567042703,RA
-0.075843959,2.679186522,RA
1.156370524,2.136841523,RA
-12.66662844,2.486705624,RA
-9.957120658,2.484109692,RA
-8.368668559,5.176068172,RA
-13.13384205,1.462566976,RA
-15.22672889,0.873390949,RA
-23.0803006,1.682774319,RA
-7.958922257,0.170096792,RA
-3.410271902,1.612041337,RA
-10.69305578,2.856388556,RA
6.653327561,4.85217418,RA
-10.81783296,3.068444208,RA
-8.378210679,2.787318673,RA
-12.91402478,1.745336955,RA
9.516030735,4.194852744,RA
2.312845481,8.187626457,RA
-4.708965138,1.548557633,RA
-1.584960971,0.780570821,RA
-0.433331179,1.530467062,RA
2.615911016,-0.1051404,RA
0.595910887,-0.101364751,RA
5.564042549,0.771495486,RA
10.35170822,0.470614763,RA
-6.684448488,2.424053201,RA
-5.680206805,2.682405552,RA
-5.392604285,3.073390477,RA
10.91072564,4.255449414,RA
10.22814402,7.515432971,RA
4.451220175,3.865655342,RA
2.220318186,4.035481764,RA
-10.13483287,2.364740513,RA
-9.859195657,2.561764284,RA
8.763855624,1.869455191,RA
-2.377550599,2.598706067,RA
2.254625507,3.438905247,RA
4.481868503,2.053520873,RA
-8.069068513,1.210982159,RA
3.003543703,1.306153689,RA
3.178928001,1.198779792,RA
5.294185907,3.039302528,RA
-11.46508801,1.104551737,RA
-6.632012492,2.085660346,RA
10.53623136,3.361201454,RA
1.640007109,6.186699713,RA
-3.097198831,4.732707764,RA
12.11644914,6.493569789,RA
-5.314536967,3.731275911,RA
6.016642668,2.268842938,RA
21.84796402,1.901902252,RA
9.378413906,1.973911874,RA
2.048964409,4.241171266,RA
9.458631384,1.968663852,RA
12.3510294,2.524078402,RA
4.973096709,2.684286414,RA
5.527171329,3.073651043,RA
-10.57492605,2.481441118,RA
-16.1763218,2.512191142,RA
